costo = 0.5902792412084606 solucion = [328, 495, 814, 818, 28, 819, 330, 666, 1073, 326, 494, 167, 169, 1037, 658, 655, 166, 74, 980, 164, 492, 327, 489, 491, 979, 329, 815, 816, 490, 2, 493, 653, 163, 817, 165, 3, 978, 981, 654, 1] es factible true semilla = 3718

costo = 7.22561718540058e6 solucion = [489, 491, 492, 327, 494, 495, 1037, 330, 1073, 326, 328, 167, 169, 814, 818, 658, 819, 655, 666, 28, 166, 74, 980, 164, 817, 163, 3, 979, 165, 490, 493, 815, 653, 1, 654, 981, 978, 329, 2, 816] es factible false semilla = 4224

costo = 7.225617117415662e6 solucion = [3, 978, 2, 653, 490, 816, 163, 165, 491, 980, 74, 658, 655, 666, 818, 28, 819, 166, 1073, 326, 167, 328, 495, 169, 814, 330, 1037, 494, 327, 164, 492, 489, 817, 981, 654, 979, 493, 1, 815, 329] es factible false semilla = 1654

costo = 7.225617229738874e6 solucion = [330, 814, 28, 655, 169, 167, 495, 494, 327, 164, 492, 489, 978, 817, 981, 163, 165, 654, 329, 653, 1, 493, 2, 816, 490, 815, 979, 3, 491, 980, 74, 658, 166, 819, 818, 1073, 326, 328, 1037, 666] es factible false semilla = 723

costo = 0.5504843931584755 solucion = [816, 490, 165, 3, 817, 163, 489, 491, 492, 978, 981, 654, 2, 329, 1, 815, 653, 493, 979, 164, 327, 980, 74, 166, 1037, 494, 167, 495, 814, 818, 666, 1073, 326, 330, 655, 658, 819, 28, 169, 328] es factible true semilla = 755

costo = 7.225617185882899e6 solucion = [167, 328, 495, 169, 326, 494, 327, 492, 489, 981, 979, 815, 817, 165, 490, 654, 978, 653, 493, 1, 329, 2, 816, 163, 3, 491, 164, 980, 74, 658, 666, 1037, 330, 814, 1073, 166, 818, 655, 819, 28] es factible false semilla = 2775

costo = 7.22561721303397e6 solucion = [1073, 666, 28, 819, 330, 658, 655, 818, 166, 74, 980, 164, 817, 165, 491, 492, 978, 654, 653, 1, 329, 816, 981, 3, 979, 815, 490, 493, 2, 163, 489, 327, 494, 814, 326, 1037, 495, 169, 167, 328] es factible false semilla = 1004

costo = 7.225617167629932e6 solucion = [492, 165, 3, 491, 980, 74, 166, 169, 495, 167, 328, 1037, 666, 330, 818, 28, 819, 658, 655, 1073, 814, 326, 494, 327, 164, 978, 489, 817, 163, 493, 329, 981, 979, 815, 816, 2, 653, 1, 654, 490] es factible false semilla = 1694

costo = 0.597306973016379 solucion = [491, 165, 654, 493, 979, 329, 1, 653, 2, 816, 815, 490, 163, 3, 978, 492, 817, 981, 489, 164, 327, 980, 74, 166, 658, 655, 814, 28, 666, 330, 819, 818, 1037, 328, 495, 169, 1073, 326, 494, 167] es factible true semilla = 2542

costo = 0.6083093005163452 solucion = [666, 1073, 814, 495, 494, 167, 328, 326, 330, 658, 818, 655, 819, 1037, 169, 28, 166, 74, 980, 327, 489, 491, 492, 978, 653, 815, 329, 493, 2, 490, 165, 979, 981, 816, 654, 1, 163, 3, 164, 817] es factible true semilla = 3389

costo = 7.225617183067107e6 solucion = [490, 816, 329, 979, 981, 492, 980, 74, 166, 28, 655, 658, 330, 818, 819, 1073, 666, 1037, 814, 169, 326, 167, 328, 495, 494, 327, 489, 817, 3, 164, 491, 165, 163, 653, 2, 654, 978, 815, 1, 493] es factible false semilla = 2473

costo = 0.5314295157784515 solucion = [1, 493, 163, 490, 816, 2, 329, 815, 979, 654, 653, 978, 817, 981, 165, 3, 491, 492, 327, 489, 164, 980, 74, 166, 818, 666, 330, 28, 819, 1073, 169, 655, 658, 1037, 328, 495, 167, 494, 326, 814] es factible true semilla = 1142

costo = 8.98786967768489e6 solucion = [2, 816, 329, 981, 654, 979, 489, 327, 492, 978, 653, 493, 817, 815, 1, 163, 3, 164, 494, 495, 167, 169, 326, 328, 814, 655, 666, 1073, 166, 1037, 818, 28, 330, 819, 658, 74, 980, 491, 165, 490] es factible false semilla = 1820

costo = 0.6254777116114448 solucion = [490, 2, 978, 981, 3, 163, 816, 329, 1, 654, 493, 653, 815, 979, 491, 165, 492, 489, 817, 164, 327, 980, 74, 166, 169, 495, 1037, 494, 167, 814, 328, 326, 330, 818, 666, 658, 1073, 819, 655, 28] es factible true semilla = 456

costo = 0.5918520765791734 solucion = [655, 1073, 819, 28, 814, 494, 495, 167, 328, 326, 330, 169, 166, 1037, 818, 666, 658, 74, 980, 327, 492, 491, 164, 493, 490, 2, 816, 329, 815, 817, 3, 981, 979, 165, 654, 978, 489, 163, 653, 1] es factible true semilla = 4759

costo = 0.6357834871634975 solucion = [2, 654, 978, 490, 653, 815, 816, 981, 163, 1, 493, 329, 979, 165, 3, 164, 817, 489, 327, 492, 491, 980, 74, 166, 818, 658, 330, 819, 1037, 655, 814, 328, 167, 495, 169, 28, 666, 1073, 326, 494] es factible true semilla = 60

costo = 7.225617190497549e6 solucion = [3, 817, 493, 490, 815, 653, 654, 816, 2, 163, 1, 329, 981, 978, 164, 492, 489, 327, 494, 814, 495, 328, 167, 169, 330, 666, 818, 28, 166, 655, 819, 1037, 326, 1073, 658, 74, 980, 491, 979, 165] es factible false semilla = 3535

costo = 0.5762469022923354 solucion = [654, 1, 815, 816, 981, 817, 978, 329, 493, 653, 2, 490, 163, 489, 491, 165, 3, 979, 164, 327, 492, 980, 74, 166, 169, 328, 326, 1037, 330, 1073, 658, 819, 28, 818, 666, 655, 814, 495, 494, 167] es factible true semilla = 2645

costo = 7.225617180898593e6 solucion = [979, 493, 164, 492, 327, 494, 495, 167, 328, 814, 326, 1073, 666, 818, 1037, 330, 658, 819, 655, 169, 28, 166, 74, 980, 491, 489, 817, 815, 981, 978, 3, 490, 163, 165, 654, 1, 653, 329, 2, 816] es factible false semilla = 2235

costo = 0.6224262678755091 solucion = [330, 1073, 169, 814, 328, 326, 167, 495, 494, 1037, 819, 818, 166, 655, 666, 28, 658, 74, 980, 327, 492, 981, 654, 816, 329, 653, 2, 163, 1, 493, 164, 3, 491, 165, 979, 815, 817, 489, 978, 490] es factible true semilla = 1497

costo = 0.6145285650572164 solucion = [169, 330, 166, 28, 655, 1073, 819, 1037, 328, 495, 494, 167, 326, 814, 818, 666, 658, 74, 980, 327, 492, 817, 978, 815, 653, 979, 491, 165, 981, 489, 164, 3, 329, 816, 2, 490, 654, 1, 493, 163] es factible true semilla = 4212

costo = 0.612528461467229 solucion = [1073, 666, 655, 819, 658, 1037, 495, 328, 167, 814, 494, 326, 169, 330, 818, 28, 166, 74, 980, 327, 164, 492, 978, 2, 816, 490, 654, 493, 815, 817, 489, 491, 165, 981, 979, 653, 329, 1, 163, 3] es factible true semilla = 2909

costo = 0.5323214663010802 solucion = [495, 167, 494, 326, 328, 814, 330, 169, 1037, 658, 28, 666, 818, 1073, 819, 655, 166, 74, 980, 491, 492, 327, 164, 493, 979, 3, 817, 815, 1, 329, 654, 978, 489, 981, 165, 163, 653, 2, 490, 816] es factible true semilla = 4384

costo = 0.575892897501131 solucion = [495, 494, 167, 326, 328, 814, 28, 819, 1037, 169, 655, 330, 1073, 666, 818, 658, 166, 74, 980, 327, 492, 489, 978, 3, 163, 329, 490, 2, 816, 981, 815, 1, 654, 653, 493, 817, 164, 979, 491, 165] es factible true semilla = 3542

costo = 0.5693562841899565 solucion = [328, 167, 494, 326, 1073, 658, 655, 330, 666, 1037, 495, 814, 169, 28, 819, 818, 166, 74, 980, 327, 164, 491, 489, 492, 981, 817, 978, 2, 493, 329, 1, 815, 979, 165, 163, 3, 654, 653, 490, 816] es factible true semilla = 859

costo = 0.5712457635470614 solucion = [815, 1, 653, 329, 490, 978, 3, 654, 2, 816, 163, 165, 981, 817, 489, 327, 492, 164, 493, 979, 491, 980, 74, 658, 819, 1073, 666, 330, 818, 166, 655, 28, 814, 1037, 494, 495, 167, 328, 326, 169] es factible true semilla = 4418

costo = 0.5899893139236022 solucion = [655, 1073, 326, 169, 814, 328, 495, 167, 494, 1037, 658, 666, 330, 819, 28, 818, 166, 74, 980, 327, 489, 979, 3, 164, 978, 492, 491, 165, 817, 493, 1, 815, 981, 163, 653, 329, 816, 490, 654, 2] es factible true semilla = 4163

costo = 0.6054386145003887 solucion = [2, 816, 654, 1, 329, 979, 165, 490, 3, 163, 981, 817, 493, 815, 653, 978, 489, 327, 492, 491, 164, 980, 74, 166, 28, 330, 819, 818, 1037, 666, 655, 658, 1073, 169, 326, 328, 167, 814, 495, 494] es factible true semilla = 2102

costo = 0.5808101395437073 solucion = [815, 979, 3, 978, 329, 1, 653, 490, 2, 816, 654, 493, 163, 817, 492, 981, 165, 491, 489, 164, 327, 980, 74, 658, 819, 818, 1037, 330, 655, 814, 326, 494, 167, 495, 328, 169, 28, 166, 1073, 666] es factible true semilla = 4709

costo = 0.6000083670107411 solucion = [978, 654, 816, 815, 329, 1, 163, 653, 2, 490, 3, 164, 817, 493, 979, 165, 981, 492, 327, 489, 491, 980, 74, 166, 330, 658, 1073, 1037, 819, 818, 28, 666, 655, 169, 814, 495, 328, 326, 167, 494] es factible true semilla = 4516

