costo = 0.6170265396143233 solucion = [819, 1073, 818, 658, 814, 167, 495, 494, 326, 169, 328, 1037, 655, 330, 666, 28, 166, 74, 980, 327, 492, 981, 165, 979, 489, 491, 164, 493, 817, 3, 654, 815, 490, 2, 816, 329, 1, 163, 653, 978] es factible true semilla = 4998

costo = 0.5911351543256848 solucion = [327, 489, 978, 2, 493, 329, 3, 490, 653, 1, 654, 165, 979, 815, 816, 981, 163, 817, 492, 164, 491, 980, 74, 166, 658, 819, 655, 666, 818, 1073, 326, 328, 167, 494, 495, 1037, 814, 169, 330, 28] es factible true semilla = 1875

costo = 0.5969200300603655 solucion = [3, 329, 2, 653, 1, 163, 816, 815, 654, 165, 490, 493, 817, 981, 978, 489, 164, 979, 491, 492, 327, 980, 74, 166, 819, 1073, 655, 169, 495, 328, 167, 494, 814, 330, 28, 658, 818, 666, 1037, 326] es factible true semilla = 830

costo = 0.5859464815439835 solucion = [658, 330, 666, 28, 169, 1037, 328, 326, 167, 495, 494, 814, 1073, 819, 655, 818, 166, 74, 980, 327, 489, 491, 492, 165, 981, 816, 654, 653, 1, 329, 3, 163, 817, 164, 979, 815, 978, 490, 2, 493] es factible true semilla = 1406

costo = 7.22561721124088e6 solucion = [1073, 666, 655, 166, 28, 818, 819, 1037, 328, 495, 167, 326, 169, 330, 658, 74, 980, 491, 979, 815, 1, 493, 2, 329, 653, 978, 817, 164, 492, 165, 163, 3, 490, 654, 816, 981, 489, 327, 494, 814] es factible false semilla = 1971

costo = 0.6095018281870318 solucion = [326, 494, 1037, 666, 28, 818, 819, 330, 1073, 814, 167, 328, 495, 169, 655, 166, 658, 74, 980, 327, 164, 3, 979, 493, 1, 815, 329, 653, 978, 490, 2, 816, 654, 165, 981, 492, 491, 489, 163, 817] es factible true semilla = 2427

costo = 0.5951525002652575 solucion = [494, 167, 326, 814, 330, 1073, 819, 28, 655, 818, 666, 1037, 495, 328, 169, 166, 658, 74, 980, 327, 489, 491, 3, 164, 492, 165, 654, 981, 978, 817, 815, 979, 329, 1, 493, 2, 653, 163, 490, 816] es factible true semilla = 2787

