costo = 2.542284970624487e7 solucion = [818, 666, 655, 28, 814, 328, 1037, 819, 330, 169, 166, 164, 493, 815, 490, 978, 981, 816, 2, 163, 165, 492, 74, 658, 1073, 326, 494, 167, 495, 1, 329, 654, 653, 979, 489, 327, 980, 491, 3, 817] es factible false semilla = 7934041247816

costo = 7.557522995706219e6 solucion = [328, 495, 167, 814, 658, 74, 980, 492, 165, 490, 816, 981, 978, 164, 491, 3, 817, 815, 329, 979, 653, 2, 493, 654, 1, 163, 489, 327, 166, 330, 28, 169, 326, 494, 1037, 655, 666, 1073, 819, 818] es factible false semilla = 7532792203280

costo = 3.979412654616894e7 solucion = [490, 816, 329, 979, 493, 2, 163, 653, 1, 654, 165, 817, 815, 978, 491, 818, 819, 330, 655, 666, 489, 981, 3, 164, 166, 1037, 326, 814, 28, 169, 167, 328, 495, 494, 327, 492, 980, 74, 658, 1073] es factible false semilla = 4303527362475

costo = 1.7053112955248732e7 solucion = [167, 169, 1037, 819, 658, 28, 814, 494, 327, 489, 491, 979, 654, 978, 653, 493, 329, 816, 815, 490, 2, 163, 1, 495, 328, 326, 1073, 330, 666, 655, 818, 166, 74, 980, 492, 981, 817, 164, 3, 165] es factible false semilla = 7354888199089

costo = 1.7385018694950804e7 solucion = [491, 492, 980, 74, 658, 655, 814, 495, 1, 493, 979, 329, 654, 165, 163, 490, 653, 2, 816, 981, 815, 978, 164, 3, 817, 489, 327, 166, 818, 1037, 494, 326, 167, 328, 169, 330, 28, 819, 1073, 666] es factible false semilla = 6440377194405

costo = 2.7856605129954293e7 solucion = [1037, 818, 1073, 814, 169, 326, 328, 495, 167, 494, 979, 165, 163, 489, 327, 166, 28, 658, 74, 980, 491, 492, 981, 3, 490, 493, 2, 654, 816, 329, 653, 1, 815, 817, 978, 164, 666, 330, 819, 655] es factible false semilla = 1821990594951

costo = 4.814231205204356e7 solucion = [654, 815, 493, 495, 167, 1, 163, 816, 329, 981, 817, 489, 327, 166, 819, 28, 658, 74, 980, 491, 979, 653, 2, 490, 165, 492, 666, 1073, 814, 655, 169, 328, 326, 330, 818, 1037, 494, 164, 978, 3] es factible false semilla = 7907414137271

costo = 4.261575175000548e7 solucion = [653, 815, 816, 163, 817, 492, 165, 979, 3, 164, 491, 980, 166, 330, 819, 28, 666, 818, 814, 328, 167, 1, 493, 74, 658, 1037, 169, 495, 329, 978, 2, 490, 654, 981, 489, 327, 494, 326, 1073, 655] es factible false semilla = 8929099752321

costo = 1.694765620821458e7 solucion = [654, 3, 978, 489, 163, 981, 165, 490, 653, 1, 495, 328, 326, 167, 169, 330, 28, 655, 819, 818, 814, 494, 1037, 658, 74, 166, 1073, 666, 980, 491, 979, 329, 815, 816, 2, 493, 817, 164, 327, 492] es factible false semilla = 1354265177095

costo = 2.611469978232439e7 solucion = [1073, 169, 167, 326, 494, 327, 489, 817, 163, 653, 2, 329, 815, 981, 816, 490, 978, 3, 654, 979, 491, 165, 492, 980, 74, 658, 819, 818, 1037, 655, 166, 164, 493, 1, 495, 328, 814, 28, 666, 330] es factible false semilla = 6570480022021

costo = 5.96884609888219e7 solucion = [491, 980, 74, 658, 819, 166, 164, 978, 653, 2, 816, 329, 815, 490, 493, 495, 169, 1073, 330, 818, 28, 666, 492, 817, 981, 165, 3, 654, 979, 494, 326, 1037, 655, 814, 327, 489, 163, 1, 167, 328] es factible false semilla = 5441622001132

costo = 1.559535390995265e7 solucion = [328, 495, 494, 326, 167, 814, 818, 166, 164, 979, 165, 654, 816, 163, 1, 815, 493, 329, 2, 653, 490, 3, 491, 980, 327, 489, 978, 981, 817, 492, 74, 658, 666, 330, 1073, 1037, 169, 655, 819, 28] es factible false semilla = 869627090556

costo = 5.470200498440598e7 solucion = [818, 1037, 326, 494, 979, 981, 816, 490, 329, 3, 666, 1073, 819, 330, 814, 495, 493, 2, 653, 163, 489, 327, 492, 165, 654, 1, 167, 328, 169, 655, 658, 74, 164, 817, 815, 978, 491, 980, 166, 28] es factible false semilla = 1286140197731

costo = 3.6618591873939544e7 solucion = [818, 655, 28, 666, 658, 74, 980, 491, 978, 653, 654, 816, 2, 493, 495, 167, 1, 163, 489, 492, 327, 494, 814, 328, 169, 1037, 326, 330, 1073, 819, 166, 164, 817, 3, 490, 815, 981, 165, 979, 329] es factible false semilla = 835416378532

costo = 1.7053112915206537e7 solucion = [164, 817, 981, 165, 492, 327, 494, 167, 328, 326, 330, 1073, 819, 28, 666, 818, 655, 1037, 166, 658, 814, 169, 495, 1, 329, 653, 493, 163, 489, 978, 2, 490, 654, 816, 815, 979, 3, 491, 980, 74] es factible false semilla = 8289243336781

costo = 3.7690888741469964e7 solucion = [818, 819, 655, 330, 1073, 666, 164, 492, 165, 3, 163, 817, 978, 2, 653, 490, 815, 329, 981, 816, 654, 979, 489, 327, 166, 28, 169, 167, 326, 1037, 494, 493, 1, 495, 328, 814, 658, 74, 980, 491] es factible false semilla = 3361167441537

costo = 1.7385018635818683e7 solucion = [1073, 655, 658, 74, 980, 491, 492, 164, 3, 165, 817, 493, 979, 815, 981, 816, 654, 2, 490, 329, 1, 495, 328, 326, 1037, 494, 814, 167, 169, 330, 666, 818, 28, 819, 166, 327, 489, 978, 653, 163] es factible false semilla = 8640520376509

costo = 2.6114699723365206e7 solucion = [979, 493, 490, 816, 815, 653, 329, 1, 495, 814, 328, 167, 326, 1037, 494, 327, 489, 981, 163, 2, 654, 3, 491, 978, 492, 980, 74, 658, 666, 28, 169, 655, 1073, 818, 330, 819, 166, 164, 817, 165] es factible false semilla = 4273567987708

costo = 4.926187830571182e7 solucion = [653, 490, 3, 491, 980, 74, 658, 819, 28, 814, 167, 328, 326, 494, 979, 165, 163, 817, 489, 327, 166, 169, 495, 1, 654, 981, 492, 666, 655, 1037, 1073, 330, 818, 164, 493, 815, 329, 978, 2, 816] es factible false semilla = 4758707359347

costo = 1.7053112964406803e7 solucion = [493, 2, 490, 653, 979, 165, 163, 816, 815, 817, 3, 164, 489, 327, 494, 167, 328, 814, 658, 1073, 666, 655, 28, 330, 818, 819, 166, 74, 980, 491, 492, 978, 981, 329, 654, 1, 495, 169, 326, 1037] es factible false semilla = 1951782128742

costo = 2.611469972327322e7 solucion = [328, 814, 1073, 819, 1037, 495, 1, 653, 978, 817, 981, 489, 327, 494, 326, 330, 818, 166, 164, 491, 979, 815, 329, 493, 654, 816, 2, 163, 490, 3, 165, 492, 980, 74, 658, 666, 28, 655, 169, 167] es factible false semilla = 8813861565622

costo = 1.7053112934744403e7 solucion = [815, 653, 2, 816, 654, 490, 165, 163, 981, 329, 979, 3, 817, 978, 491, 980, 74, 658, 1037, 330, 28, 666, 818, 819, 1073, 166, 655, 814, 328, 169, 495, 1, 493, 164, 489, 492, 327, 494, 167, 326] es factible false semilla = 7481873437805

costo = 0.6385006484803113 solucion = [165, 163, 3, 490, 816, 2, 329, 979, 815, 654, 1, 653, 493, 164, 491, 978, 489, 981, 817, 492, 327, 980, 74, 166, 819, 658, 1037, 494, 495, 814, 330, 818, 666, 1073, 326, 167, 328, 169, 655, 28] es factible true semilla = 4357052806118

costo = 3.738023185827861e7 solucion = [489, 981, 816, 2, 329, 3, 654, 493, 653, 163, 490, 978, 817, 492, 666, 28, 166, 164, 491, 165, 979, 815, 1, 495, 328, 814, 655, 819, 658, 74, 980, 327, 494, 167, 169, 326, 1037, 1073, 330, 818] es factible false semilla = 3512340694037

costo = 3.661859191344444e7 solucion = [819, 655, 666, 330, 28, 818, 814, 1073, 166, 164, 817, 978, 653, 493, 495, 494, 327, 489, 979, 981, 163, 165, 492, 491, 980, 74, 658, 1037, 326, 169, 328, 167, 1, 815, 329, 3, 654, 490, 2, 816] es factible false semilla = 1627386066100

costo = 1.7053112936875243e7 solucion = [817, 165, 490, 329, 981, 816, 815, 978, 3, 491, 489, 492, 327, 494, 814, 169, 167, 328, 326, 330, 819, 28, 666, 1073, 1037, 495, 1, 163, 2, 653, 493, 654, 979, 164, 980, 74, 166, 658, 655, 818] es factible false semilla = 6235279480087

costo = 1.6287204038953781e7 solucion = [495, 1037, 819, 655, 169, 328, 326, 330, 658, 74, 980, 491, 978, 2, 653, 493, 815, 490, 165, 163, 816, 654, 1, 329, 979, 164, 166, 28, 666, 1073, 818, 814, 167, 494, 327, 492, 489, 981, 3, 817] es factible false semilla = 7447631523529

costo = 2.755700514652923e7 solucion = [169, 328, 1037, 494, 327, 164, 491, 978, 653, 163, 817, 489, 981, 3, 490, 816, 815, 329, 2, 493, 495, 814, 28, 819, 1073, 326, 167, 1, 654, 979, 165, 492, 980, 74, 658, 166, 330, 655, 818, 666] es factible false semilla = 9904624771078

costo = 2.6114699740196206e7 solucion = [165, 492, 980, 74, 658, 28, 166, 164, 979, 491, 978, 489, 327, 494, 167, 814, 655, 818, 819, 1073, 330, 666, 1037, 169, 326, 328, 495, 1, 163, 817, 3, 654, 653, 493, 490, 816, 981, 815, 329, 2] es factible false semilla = 3195825894915

costo = 3.7684100952191375e7 solucion = [3, 163, 165, 490, 493, 2, 329, 653, 979, 494, 326, 1073, 169, 167, 814, 28, 819, 658, 74, 980, 491, 164, 666, 330, 818, 655, 1037, 166, 327, 489, 817, 815, 816, 981, 492, 978, 654, 1, 495, 328] es factible false semilla = 3883490870948

costo = 8.918796362057458e7 solucion = [819, 330, 326, 494, 817, 978, 653, 2, 490, 3, 666, 1037, 166, 980, 491, 165, 654, 329, 495, 169, 28, 658, 74, 492, 981, 816, 163, 489, 327, 814, 1073, 655, 818, 164, 979, 493, 328, 167, 1, 815] es factible false semilla = 9434706259709

costo = 3.661859186334233e7 solucion = [655, 28, 818, 666, 330, 819, 1073, 658, 74, 980, 492, 978, 981, 817, 165, 491, 3, 979, 493, 495, 328, 1037, 169, 166, 164, 489, 327, 494, 326, 814, 167, 1, 163, 653, 490, 654, 815, 329, 816, 2] es factible false semilla = 168594847449

costo = 3.661859195425634e7 solucion = [819, 818, 166, 164, 817, 489, 979, 654, 2, 816, 490, 493, 495, 1037, 655, 666, 28, 330, 1073, 169, 167, 1, 815, 981, 165, 491, 980, 74, 658, 814, 328, 326, 494, 327, 492, 978, 653, 163, 3, 329] es factible false semilla = 1839198909874

costo = 3.7919036628067054e7 solucion = [1037, 328, 167, 169, 326, 1073, 655, 666, 330, 28, 658, 74, 980, 491, 3, 165, 817, 492, 327, 814, 818, 819, 166, 164, 489, 163, 329, 979, 494, 495, 1, 653, 490, 493, 654, 816, 981, 815, 978, 2] es factible false semilla = 9117627688801

costo = 2.6114699715317607e7 solucion = [493, 490, 653, 979, 491, 492, 980, 74, 658, 814, 169, 495, 1, 815, 981, 329, 3, 165, 817, 489, 327, 494, 167, 328, 326, 330, 1073, 655, 818, 1037, 666, 28, 819, 166, 164, 978, 654, 816, 2, 163] es factible false semilla = 3300082039489

costo = 4.118610384630739e7 solucion = [330, 818, 1073, 819, 655, 166, 980, 491, 165, 817, 815, 654, 981, 492, 666, 28, 658, 74, 164, 3, 490, 163, 653, 1, 493, 2, 978, 489, 327, 814, 167, 326, 1037, 169, 328, 495, 494, 979, 329, 816] es factible false semilla = 879504557003

costo = 6.2294779080974266e7 solucion = [492, 978, 2, 816, 654, 493, 328, 326, 167, 1, 653, 815, 979, 494, 814, 1073, 1037, 330, 666, 164, 3, 817, 163, 490, 165, 491, 980, 166, 169, 495, 329, 981, 489, 327, 74, 658, 28, 818, 819, 655] es factible false semilla = 6055223345743

costo = 5.101359957667884e7 solucion = [2, 654, 165, 979, 494, 167, 328, 326, 814, 327, 489, 817, 815, 816, 981, 329, 493, 164, 74, 658, 655, 1073, 818, 28, 666, 492, 978, 653, 1, 495, 1037, 819, 330, 169, 166, 980, 491, 3, 163, 490] es factible false semilla = 7999006985219

costo = 1.705311293327661e7 solucion = [166, 74, 980, 492, 327, 494, 814, 655, 818, 28, 169, 167, 328, 326, 330, 819, 658, 1073, 666, 1037, 495, 1, 163, 493, 815, 490, 165, 3, 978, 981, 817, 489, 491, 164, 979, 653, 654, 329, 816, 2] es factible false semilla = 2607445384050

costo = 5.2597459521035165e7 solucion = [653, 2, 329, 163, 490, 165, 491, 980, 166, 169, 655, 28, 814, 328, 326, 1073, 818, 492, 981, 816, 654, 815, 979, 489, 327, 494, 167, 495, 1, 493, 164, 74, 658, 819, 1037, 330, 666, 817, 3, 978] es factible false semilla = 1718513206638

costo = 6.358499303550923e7 solucion = [816, 981, 492, 74, 658, 330, 1073, 980, 491, 3, 490, 163, 165, 817, 666, 655, 28, 169, 167, 1, 329, 815, 654, 978, 164, 166, 818, 814, 495, 493, 2, 653, 979, 489, 327, 494, 326, 328, 1037, 819] es factible false semilla = 3907831489097

costo = 3.687677985918228e7 solucion = [326, 494, 164, 817, 493, 495, 169, 814, 28, 658, 74, 980, 492, 491, 165, 979, 3, 490, 2, 978, 329, 163, 1, 167, 328, 1037, 666, 818, 1073, 655, 330, 819, 166, 327, 489, 981, 815, 653, 654, 816] es factible false semilla = 5699468629622

costo = 3.768410090426741e7 solucion = [3, 163, 2, 493, 979, 494, 326, 328, 814, 167, 169, 28, 330, 1073, 819, 166, 327, 489, 978, 653, 1, 495, 1037, 666, 164, 817, 815, 654, 981, 329, 816, 490, 165, 491, 492, 980, 74, 658, 655, 818] es factible false semilla = 241653181362

costo = 2.6114699738668643e7 solucion = [815, 816, 981, 163, 490, 2, 493, 979, 491, 164, 166, 819, 330, 28, 666, 1073, 818, 655, 1037, 658, 74, 980, 492, 978, 653, 329, 1, 495, 814, 328, 169, 326, 167, 494, 327, 489, 817, 3, 654, 165] es factible false semilla = 1639316452837

costo = 1.536276967890751e7 solucion = [328, 814, 658, 666, 28, 166, 330, 169, 495, 167, 326, 1073, 818, 819, 655, 1037, 494, 979, 493, 163, 165, 492, 327, 489, 981, 329, 1, 653, 815, 817, 164, 74, 980, 491, 978, 2, 816, 654, 3, 490] es factible false semilla = 1374024324883

costo = 1.7053112941223737e7 solucion = [653, 979, 815, 490, 816, 654, 1, 495, 814, 818, 1073, 326, 328, 1037, 658, 74, 980, 491, 978, 329, 2, 163, 493, 817, 489, 492, 981, 165, 3, 164, 327, 494, 167, 169, 166, 330, 666, 655, 819, 28] es factible false semilla = 4413653467107

