costo = 0.3189528740955118 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 3, 165, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 655, 818, 666, 658, 819, 28, 330, 1073, 814, 1037, 169, 326, 328, 495, 167, 494] es factible true semilla = 1
costo = 0.3144017498424263 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 978, 981, 3, 165, 817, 493, 979, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 6
costo = 0.3357216199518872 solucion = [494, 495, 167, 328, 326, 169, 1037, 814, 330, 28, 819, 655, 818, 658, 666, 1073, 166, 74, 980, 327, 164, 492, 489, 817, 165, 3, 981, 978, 491, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 8
costo = 0.3083307807989823 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 9
costo = 0.33562579065162323 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 1073, 1037, 814, 494, 495, 167, 328, 326, 169, 330, 819, 28] es factible true semilla = 19
costo = 0.3267561706595788 solucion = [658, 666, 818, 655, 819, 28, 330, 169, 326, 328, 495, 167, 494, 814, 1037, 1073, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 24
costo = 0.3441147021683509 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 979, 493, 329, 978, 817, 489, 492, 165, 3, 981, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 27
costo = 0.33833884036415796 solucion = [658, 666, 818, 655, 819, 28, 330, 1037, 814, 494, 495, 167, 328, 326, 169, 1073, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 3, 165, 981, 816, 654, 490, 653, 2, 163, 493, 979, 329, 815, 1] es factible true semilla = 28
costo = 0.3083307807989823 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 32
costo = 0.3124472389632899 solucion = [1, 815, 490, 816, 654, 653, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 34
costo = 0.31767839743935294 solucion = [979, 493, 329, 1, 815, 816, 654, 490, 653, 2, 163, 981, 165, 3, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 37
costo = 0.32095942845122244 solucion = [494, 167, 495, 328, 326, 814, 169, 1037, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 163, 2, 816, 654, 490, 653, 815, 1, 329, 493, 979] es factible true semilla = 41
costo = 0.3203717640624652 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 492, 491, 489, 817, 165, 3, 981, 978, 329, 979, 493, 163, 2, 653, 490, 654, 816, 815, 1] es factible true semilla = 42
costo = 0.31614604158258064 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 979, 493, 817, 3, 165, 981, 978, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 495, 167, 494] es factible true semilla = 43
costo = 0.3083307807989823 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 46
costo = 0.31440174984242614 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 979, 493, 817, 165, 3, 981, 978, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 52
costo = 0.30833078079898246 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 56
costo = 0.3291622220067261 solucion = [979, 493, 329, 1, 815, 653, 490, 654, 816, 2, 163, 817, 978, 3, 165, 981, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 1037, 814, 169, 326, 328, 495, 167, 494] es factible true semilla = 58
costo = 0.3267212076522044 solucion = [489, 817, 978, 3, 165, 981, 163, 2, 816, 654, 490, 653, 1, 815, 329, 493, 979, 491, 492, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 495, 167, 494] es factible true semilla = 60
costo = 0.3093461097471657 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 492, 491, 489, 817, 978, 981, 3, 165, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 67
costo = 0.3388988175623225 solucion = [978, 3, 165, 981, 163, 2, 816, 654, 490, 653, 815, 1, 329, 493, 979, 491, 489, 817, 492, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 69
costo = 0.3083307807989823 solucion = [1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494] es factible true semilla = 73
costo = 0.3247812204134163 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 492, 491, 979, 493, 329, 1, 815, 653, 490, 654, 816, 2, 163, 981, 165, 3, 978, 817, 489] es factible true semilla = 78
costo = 0.33281394078686405 solucion = [1, 815, 816, 654, 490, 653, 2, 163, 329, 493, 979, 165, 981, 3, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 655, 819, 28, 658, 666, 818, 1073, 330, 169, 814, 1037, 326, 328, 167, 495, 494] es factible true semilla = 79
costo = 0.30833078079898246 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 89
costo = 0.3144017498424263 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 978, 981, 3, 165, 817, 493, 979, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 94
costo = 0.3327796819874094 solucion = [494, 167, 495, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 979, 493, 1, 815, 653, 654, 490, 816, 2, 329, 163] es factible true semilla = 95
costo = 0.33822682309442514 solucion = [28, 819, 330, 169, 814, 326, 328, 167, 495, 494, 1037, 1073, 655, 818, 666, 658, 166, 74, 980, 327, 164, 491, 492, 489, 817, 978, 981, 3, 165, 979, 493, 329, 163, 2, 816, 654, 490, 653, 815, 1] es factible true semilla = 96
costo = 0.3556131283078006 solucion = [978, 817, 165, 3, 981, 163, 1, 815, 653, 490, 654, 816, 2, 329, 493, 979, 489, 491, 492, 164, 327, 980, 74, 166, 1073, 169, 326, 328, 167, 495, 494, 814, 1037, 330, 28, 819, 655, 818, 658, 666] es factible true semilla = 99
costo = 0.35961424561286376 solucion = [1, 815, 329, 163, 2, 653, 490, 654, 816, 981, 165, 3, 978, 817, 493, 979, 489, 492, 491, 164, 327, 980, 74, 166, 1073, 330, 169, 1037, 326, 328, 495, 167, 494, 814, 28, 819, 655, 818, 658, 666] es factible true semilla = 100
0.3083307807989823[1, 815, 653, 490, 654, 816, 2, 163, 329, 493, 979, 165, 3, 981, 978, 817, 489, 492, 491, 164, 327, 980, 74, 166, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 1037, 814, 326, 328, 167, 495, 494]
