costo = 0.1828406444004138 solucion = [351, 981, 3, 333, 990, 171, 652, 1075, 483, 512, 821, 179, 671, 16, 520, 186, 675, 339, 327, 670, 504, 985, 825, 500, 674, 334, 1003, 349, 995, 984, 11, 164, 501, 25, 492, 491, 499, 489, 174, 4, 165, 988, 1004, 5, 6, 978, 23, 176, 668, 352, 817, 347, 183, 346, 75, 27, 991, 185, 22, 676, 665, 163, 673, 173, 2, 656, 507, 653, 344, 490, 654, 26, 820, 345, 332, 181, 982, 14, 187, 816, 678, 823, 7, 184, 667, 815, 172, 182, 839, 496, 19, 986, 508, 657, 663, 661, 832, 829, 1, 9, 168, 505, 329, 509, 493, 979, 837, 331, 662, 8, 999, 343, 510, 660, 20, 511, 350, 840, 340, 1038, 828, 12, 502, 151, 822, 166, 818, 655, 819, 28, 330, 169, 814, 326, 328, 495, 167, 494, 1037, 1073, 666, 658, 74, 1001, 980, 297, 336, 826, 444, 17] es factible true semilla = 21
costo = 0.16615184812248454 solucion = [494, 167, 495, 328, 326, 814, 1037, 169, 330, 28, 819, 655, 818, 666, 658, 74, 1001, 151, 828, 12, 1038, 502, 339, 826, 444, 17, 489, 4, 174, 988, 6, 5, 1004, 981, 26, 820, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 654, 490, 344, 653, 507, 2, 656, 667, 184, 173, 172, 163, 351, 978, 352, 23, 668, 176, 817, 347, 499, 491, 984, 349, 1003, 334, 674, 985, 500, 825, 20, 660, 510, 343, 999, 8, 662, 331, 995, 837, 979, 493, 509, 329, 839, 815, 9, 1, 829, 661, 832, 663, 657, 986, 508, 168, 505, 19, 496, 182, 673, 665, 676, 22, 185, 991, 27, 990, 333, 3, 165, 25, 492, 501, 164, 11, 511, 327, 504, 670, 350, 840, 336, 980, 297, 340, 671, 179, 171, 483, 1075, 652, 512, 821, 75, 346, 183, 16, 520, 186, 675, 822, 166, 1073] es factible true semilla = 25
costo = 0.15979682740009943 solucion = [332, 345, 181, 14, 982, 187, 816, 678, 823, 7, 507, 656, 2, 173, 673, 163, 676, 665, 344, 653, 490, 654, 820, 26, 991, 185, 22, 351, 1004, 6, 5, 176, 23, 668, 352, 978, 981, 990, 27, 333, 3, 165, 988, 174, 4, 817, 489, 347, 499, 491, 492, 25, 501, 984, 995, 331, 349, 1003, 11, 164, 17, 444, 826, 1001, 74, 658, 666, 818, 655, 819, 28, 330, 1073, 169, 328, 167, 495, 494, 326, 814, 1037, 166, 822, 340, 183, 75, 346, 171, 483, 652, 1075, 512, 821, 179, 671, 16, 520, 186, 675, 339, 502, 1038, 12, 828, 151, 980, 297, 336, 840, 350, 511, 327, 670, 504, 500, 825, 20, 660, 510, 343, 985, 674, 334, 999, 662, 8, 837, 979, 493, 509, 329, 19, 496, 839, 182, 172, 184, 667, 815, 505, 168, 508, 986, 9, 1, 829, 661, 832, 657, 663] es factible true semilla = 36
costo = 0.17572473530456317 solucion = [444, 17, 491, 499, 347, 817, 668, 176, 23, 352, 978, 4, 174, 165, 3, 981, 988, 6, 5, 1004, 351, 22, 676, 185, 991, 333, 27, 990, 75, 346, 183, 340, 502, 12, 1038, 339, 826, 511, 327, 504, 985, 500, 825, 20, 660, 510, 343, 334, 164, 11, 501, 492, 25, 489, 171, 483, 652, 1075, 821, 512, 179, 671, 16, 520, 186, 675, 828, 151, 822, 1001, 166, 819, 28, 330, 169, 814, 326, 328, 167, 495, 494, 1037, 1073, 655, 818, 666, 658, 74, 980, 297, 336, 840, 350, 670, 674, 999, 8, 662, 331, 349, 1003, 984, 995, 837, 979, 493, 509, 329, 19, 505, 168, 508, 986, 9, 832, 661, 663, 657, 829, 1, 656, 667, 184, 673, 665, 344, 653, 490, 654, 26, 820, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 507, 2, 173, 815, 839, 496, 182, 172, 163] es factible true semilla = 42
costo = 0.17171773457175757 solucion = [494, 495, 167, 328, 326, 814, 1037, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 166, 822, 151, 652, 483, 1075, 340, 502, 1038, 12, 828, 1001, 74, 980, 297, 336, 840, 350, 670, 327, 511, 504, 500, 825, 20, 660, 510, 343, 985, 674, 334, 999, 8, 662, 331, 995, 347, 817, 668, 176, 23, 352, 978, 988, 6, 5, 1004, 351, 22, 676, 665, 344, 490, 653, 507, 184, 667, 656, 2, 9, 1, 829, 661, 832, 657, 663, 986, 508, 168, 505, 19, 496, 839, 815, 173, 673, 182, 172, 163, 329, 509, 493, 979, 837, 349, 1003, 501, 17, 75, 821, 512, 179, 671, 339, 675, 186, 520, 16, 183, 346, 171, 990, 27, 333, 991, 185, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 654, 820, 26, 981, 3, 165, 174, 4, 489, 25, 492, 491, 499, 984, 164, 11, 826, 444] es factible true semilla = 50
costo = 0.175643966947875 solucion = [17, 164, 11, 501, 492, 25, 489, 817, 4, 174, 165, 3, 333, 990, 27, 991, 820, 26, 654, 653, 507, 184, 667, 656, 2, 173, 673, 815, 9, 1, 829, 832, 661, 657, 663, 986, 508, 168, 505, 19, 839, 496, 182, 172, 163, 329, 509, 493, 979, 668, 352, 978, 6, 5, 1004, 351, 22, 185, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 490, 344, 665, 676, 981, 988, 23, 176, 347, 499, 491, 984, 995, 837, 8, 999, 662, 331, 349, 1003, 334, 674, 350, 840, 336, 980, 297, 1001, 822, 166, 655, 819, 28, 330, 169, 814, 326, 328, 167, 495, 494, 1037, 1073, 818, 666, 658, 74, 20, 660, 510, 343, 985, 825, 500, 504, 670, 327, 511, 826, 444, 339, 186, 671, 179, 512, 821, 1075, 652, 483, 171, 346, 75, 183, 16, 520, 675, 340, 502, 1038, 12, 828, 151] es factible true semilla = 66
costo = 0.16879818776943725 solucion = [995, 331, 662, 8, 999, 334, 1003, 349, 984, 499, 347, 817, 988, 165, 981, 351, 22, 185, 991, 1004, 6, 5, 978, 352, 23, 176, 668, 25, 492, 491, 501, 11, 164, 504, 670, 511, 327, 350, 840, 336, 297, 1001, 822, 166, 1073, 1037, 814, 326, 494, 495, 167, 328, 169, 330, 28, 819, 655, 818, 666, 658, 74, 980, 20, 510, 660, 343, 500, 825, 985, 674, 837, 979, 493, 509, 329, 19, 505, 168, 508, 986, 832, 661, 663, 657, 829, 1, 9, 2, 173, 673, 507, 656, 667, 184, 815, 839, 496, 182, 172, 163, 676, 665, 653, 344, 490, 654, 7, 823, 678, 816, 187, 181, 982, 14, 332, 345, 820, 26, 990, 27, 333, 3, 174, 4, 489, 17, 444, 826, 339, 502, 828, 151, 12, 1038, 340, 675, 186, 520, 16, 671, 179, 652, 1075, 483, 171, 346, 183, 75, 821, 512] es factible true semilla = 67
costo = 0.17478354711017047 solucion = [343, 510, 660, 20, 670, 350, 327, 511, 504, 825, 500, 985, 674, 334, 1003, 349, 837, 509, 329, 505, 168, 493, 979, 995, 331, 662, 8, 999, 840, 336, 980, 297, 340, 502, 1038, 339, 826, 444, 17, 489, 351, 22, 163, 508, 986, 1, 829, 657, 663, 661, 832, 9, 507, 7, 823, 678, 816, 187, 982, 14, 181, 332, 345, 820, 26, 654, 490, 653, 344, 665, 172, 182, 496, 19, 839, 815, 184, 667, 656, 2, 173, 673, 676, 185, 991, 27, 990, 333, 981, 3, 165, 4, 174, 988, 1004, 5, 6, 978, 352, 23, 176, 668, 817, 347, 499, 492, 25, 491, 984, 501, 164, 11, 183, 346, 75, 821, 512, 1075, 652, 483, 171, 179, 671, 16, 520, 186, 675, 12, 828, 151, 822, 1001, 74, 166, 819, 28, 330, 169, 326, 328, 167, 495, 494, 814, 1037, 1073, 655, 818, 666, 658] es factible true semilla = 75
costo = 0.1801075937966723 solucion = [979, 837, 8, 999, 674, 985, 343, 510, 660, 20, 825, 500, 504, 670, 327, 511, 350, 840, 336, 980, 297, 1001, 166, 1073, 330, 169, 1037, 326, 328, 495, 167, 494, 814, 28, 819, 655, 818, 666, 658, 74, 822, 151, 828, 520, 16, 652, 1075, 483, 171, 346, 75, 671, 186, 675, 340, 502, 12, 1038, 339, 826, 444, 17, 11, 164, 334, 1003, 349, 662, 331, 995, 984, 501, 491, 492, 25, 489, 4, 174, 165, 981, 351, 1004, 5, 6, 978, 352, 23, 176, 668, 817, 347, 499, 183, 179, 512, 821, 990, 27, 333, 3, 988, 493, 509, 329, 19, 505, 168, 508, 986, 9, 1, 829, 657, 663, 661, 832, 673, 665, 344, 490, 654, 820, 26, 991, 185, 22, 676, 163, 172, 182, 496, 839, 815, 173, 2, 656, 667, 184, 507, 653, 7, 823, 678, 816, 187, 982, 14, 181, 345, 332] es factible true semilla = 78
costo = 0.17678924286072356 solucion = [820, 26, 490, 344, 673, 665, 676, 22, 185, 991, 351, 1004, 6, 5, 978, 352, 668, 176, 23, 817, 347, 499, 1003, 334, 674, 504, 670, 20, 660, 510, 825, 500, 985, 343, 999, 8, 662, 331, 837, 509, 329, 505, 168, 9, 508, 986, 1, 829, 657, 663, 661, 832, 7, 823, 678, 816, 187, 982, 14, 181, 332, 345, 654, 653, 507, 184, 667, 656, 2, 173, 815, 839, 19, 496, 182, 172, 163, 493, 979, 995, 349, 984, 491, 492, 25, 17, 186, 520, 16, 671, 179, 183, 346, 75, 821, 512, 483, 1075, 652, 171, 990, 27, 333, 981, 3, 165, 988, 174, 4, 489, 501, 164, 11, 511, 327, 350, 840, 336, 297, 980, 1001, 74, 658, 666, 818, 655, 819, 28, 814, 494, 167, 495, 328, 326, 1037, 169, 330, 1073, 166, 822, 151, 828, 12, 1038, 502, 340, 675, 339, 826, 444] es factible true semilla = 99
