costo = 967361.4882261317 solucion = [816, 654, 1, 653, 978, 489, 327, 492, 981, 3, 329, 979, 494, 495, 814, 328, 167, 326, 1037, 666, 817, 815, 493, 164, 74, 658, 655, 1073, 330, 818, 819, 28, 169, 166, 980, 491, 165, 163, 2, 490] es factible false semilla = 2210591222734644295

costo = 205601.59934781646 solucion = [2, 816, 654, 165, 979, 3, 491, 980, 74, 166, 1037, 495, 167, 328, 169, 655, 814, 330, 658, 819, 28, 818, 666, 1073, 326, 494, 327, 164, 492, 489, 981, 329, 1, 163, 817, 493, 490, 653, 978, 815] es factible false semilla = 6123746102109633352

costo = 1.0419626126500922e6 solucion = [326, 328, 169, 1073, 330, 819, 1037, 655, 666, 658, 74, 980, 491, 3, 978, 2, 329, 979, 981, 817, 489, 327, 494, 814, 28, 818, 166, 164, 492, 165, 654, 1, 167, 495, 493, 815, 653, 490, 163, 816] es factible false semilla = 3819216694804741401

costo = 485237.6147512637 solucion = [491, 3, 654, 2, 816, 815, 817, 493, 490, 165, 492, 980, 74, 166, 330, 658, 666, 818, 655, 814, 1073, 326, 328, 167, 494, 327, 164, 979, 329, 163, 981, 489, 978, 653, 1, 495, 169, 1037, 819, 28] es factible false semilla = 1469804754812517030

costo = 823433.4950017238 solucion = [817, 978, 489, 327, 492, 165, 491, 980, 74, 658, 1037, 819, 330, 169, 495, 1, 815, 816, 654, 493, 164, 166, 655, 666, 818, 28, 814, 1073, 326, 328, 167, 494, 979, 3, 490, 329, 2, 653, 163, 981] es factible false semilla = 3052714576223068983

costo = 1.3625172402745206e6 solucion = [819, 28, 169, 326, 328, 167, 1, 654, 3, 981, 489, 327, 494, 1037, 495, 493, 2, 816, 329, 979, 815, 653, 163, 490, 165, 491, 980, 74, 658, 1073, 666, 492, 817, 978, 164, 166, 330, 814, 818, 655] es factible false semilla = 4035464164243510003

costo = 1.0419626217772778e6 solucion = [328, 814, 1073, 818, 666, 658, 74, 980, 491, 165, 981, 979, 653, 815, 490, 163, 1, 167, 326, 330, 1037, 494, 327, 492, 164, 166, 819, 655, 28, 169, 495, 493, 329, 816, 2, 654, 3, 817, 489, 978] es factible false semilla = 1510749637386188124

costo = 494681.8691848134 solucion = [658, 74, 980, 492, 164, 979, 654, 816, 490, 165, 491, 978, 653, 1, 495, 1037, 494, 326, 1073, 666, 655, 818, 814, 167, 328, 169, 28, 819, 330, 166, 327, 489, 817, 981, 815, 329, 3, 163, 2, 493] es factible false semilla = 4296100761185459492

costo = 743080.1635087149 solucion = [328, 326, 167, 495, 1, 163, 165, 492, 981, 978, 653, 2, 329, 493, 164, 166, 28, 819, 1037, 818, 666, 330, 658, 74, 980, 491, 3, 490, 816, 654, 979, 815, 817, 489, 327, 494, 814, 655, 1073, 169] es factible false semilla = 1619135066193674559

costo = 853557.1978281826 solucion = [2, 816, 490, 978, 489, 817, 492, 327, 74, 658, 28, 819, 166, 980, 491, 165, 979, 494, 167, 328, 326, 814, 495, 169, 655, 1073, 330, 818, 1037, 666, 164, 493, 329, 3, 654, 981, 163, 653, 1, 815] es factible false semilla = 5442979079814470576

