costo = 463444.10861203115 solucion = [167, 328, 495, 494, 327, 489, 979, 493, 817, 978, 653, 1, 163, 816, 981, 654, 815, 329, 3, 164, 166, 169, 28, 819, 330, 1073, 326, 814, 655, 666, 818, 1037, 658, 74, 980, 491, 492, 165, 490, 2] es factible false semilla = 4254259947188145032

costo = 1.455567574099182e6 solucion = [979, 653, 329, 654, 3, 165, 491, 666, 1073, 819, 818, 164, 978, 981, 489, 327, 166, 1037, 658, 74, 980, 492, 817, 494, 326, 814, 655, 330, 28, 169, 328, 167, 495, 1, 815, 493, 163, 816, 2, 490] es factible false semilla = 4376072943230722009

costo = 743080.1154039196 solucion = [489, 981, 165, 979, 654, 816, 2, 163, 817, 492, 327, 494, 326, 330, 169, 1073, 1037, 328, 167, 495, 1, 493, 653, 978, 491, 980, 74, 658, 666, 818, 819, 28, 814, 655, 166, 164, 3, 490, 329, 815] es factible false semilla = 5966212699532034330

costo = 687837.9359381908 solucion = [655, 1073, 330, 819, 28, 658, 74, 166, 818, 1037, 666, 980, 492, 981, 816, 815, 1, 495, 169, 814, 167, 328, 326, 494, 327, 164, 493, 490, 978, 489, 163, 653, 2, 329, 3, 491, 979, 654, 165, 817] es factible false semilla = 5803879253754760948

costo = 1.3808682681974845e6 solucion = [329, 981, 492, 74, 658, 1073, 326, 494, 979, 491, 980, 327, 489, 163, 3, 978, 815, 817, 666, 655, 330, 1037, 495, 1, 654, 165, 490, 816, 2, 653, 493, 164, 166, 169, 328, 167, 814, 818, 819, 28] es factible false semilla = 7772217452832929531

costo = 784120.1703209085 solucion = [815, 816, 2, 163, 489, 327, 494, 1037, 655, 666, 330, 818, 814, 28, 819, 658, 1073, 326, 328, 495, 493, 979, 981, 329, 653, 490, 165, 654, 1, 167, 169, 166, 74, 980, 491, 978, 3, 817, 164, 492] es factible false semilla = 4198660102327907488

costo = 1.0636346874864858e6 solucion = [1073, 666, 492, 165, 817, 163, 653, 2, 654, 979, 493, 164, 166, 330, 655, 819, 1037, 326, 328, 167, 494, 327, 489, 978, 981, 815, 816, 490, 3, 491, 980, 74, 658, 818, 28, 814, 169, 495, 1, 329] es factible false semilla = 388171244296084903

costo = 784120.1487328238 solucion = [3, 163, 981, 979, 329, 978, 815, 816, 490, 2, 653, 1, 167, 494, 327, 489, 492, 164, 817, 165, 491, 980, 74, 166, 28, 814, 326, 328, 169, 655, 1073, 330, 666, 818, 658, 819, 1037, 495, 493, 654] es factible false semilla = 4715042799313694580

costo = 762904.5427725641 solucion = [328, 1037, 495, 493, 653, 654, 165, 163, 3, 979, 489, 164, 327, 980, 494, 326, 814, 28, 166, 74, 658, 819, 818, 666, 655, 330, 1073, 169, 167, 1, 329, 815, 490, 2, 816, 981, 978, 817, 492, 491] es factible false semilla = 4077764787852235354

costo = 1.0419626720379704e6 solucion = [28, 814, 818, 1073, 666, 330, 1037, 819, 658, 74, 980, 492, 327, 494, 326, 328, 169, 655, 166, 164, 491, 3, 329, 1, 167, 495, 493, 490, 163, 489, 981, 654, 653, 815, 979, 165, 817, 978, 2, 816] es factible false semilla = 4181942192211590393

costo = 1.0722811448731811e6 solucion = [165, 3, 981, 979, 494, 167, 326, 1073, 330, 666, 164, 489, 327, 166, 655, 28, 169, 495, 1, 654, 653, 163, 493, 817, 815, 816, 2, 490, 329, 978, 491, 492, 980, 74, 658, 814, 328, 1037, 818, 819] es factible false semilla = 221143674632845226

costo = 888344.9148670357 solucion = [655, 814, 818, 28, 819, 1073, 326, 330, 1037, 328, 167, 494, 495, 1, 163, 2, 816, 815, 654, 979, 653, 490, 3, 164, 666, 658, 980, 491, 165, 981, 329, 493, 817, 489, 978, 492, 327, 74, 166, 169] es factible false semilla = 3721097362752843365

costo = 914089.447066274 solucion = [492, 327, 489, 491, 980, 494, 814, 28, 666, 1037, 655, 819, 658, 818, 330, 1073, 166, 74, 164, 979, 493, 495, 328, 169, 326, 167, 1, 815, 978, 653, 329, 816, 163, 165, 817, 981, 3, 490, 2, 654] es factible false semilla = 8453761596323958834

costo = 205601.56329286826 solucion = [1073, 166, 655, 658, 74, 980, 491, 979, 165, 3, 164, 978, 817, 493, 654, 1, 815, 816, 2, 653, 490, 329, 163, 981, 489, 492, 327, 494, 814, 167, 328, 495, 169, 326, 1037, 666, 818, 28, 330, 819] es factible false semilla = 7027849873733947071

costo = 1.1156788048139955e6 solucion = [326, 167, 328, 1037, 819, 1073, 330, 655, 818, 166, 980, 491, 978, 653, 2, 163, 816, 329, 981, 492, 666, 28, 658, 74, 164, 979, 815, 817, 165, 3, 654, 490, 493, 1, 495, 169, 814, 494, 327, 489] es factible false semilla = 5559781683816846355

costo = 1.041962662983401e6 solucion = [330, 326, 1073, 169, 495, 493, 2, 654, 490, 816, 815, 817, 978, 489, 491, 980, 74, 658, 819, 28, 666, 1037, 494, 327, 492, 165, 979, 981, 3, 164, 166, 818, 655, 814, 328, 167, 1, 329, 653, 163] es factible false semilla = 3326631236644951135

costo = 1.7725644940855613e6 solucion = [655, 28, 818, 658, 74, 327, 489, 817, 981, 815, 1, 167, 814, 330, 819, 166, 980, 492, 491, 978, 164, 666, 1073, 169, 1037, 495, 329, 490, 653, 163, 2, 493, 328, 326, 494, 979, 3, 165, 654, 816] es factible false semilla = 2261357532856019184

